Time,position,velocity,rhonn_x0,rhonn_x1,error_x0,error_x1,set_point,effort,error_tracking_x0,error_tracking_x1,surface,w11,w12,w21,w22
77.54,28.638989307404405,3.998758895589095,28.638989255132383,3.9987588956555982,5.2272021378030331e-08,-6.6503247353466577e-11,28.07586236518438,9.221759875204647,0.5189026440340534,0.50717767246007739,0.52274475178109903,-6.1035070735900456,-5.2450926003824776,-31.685212736449731,-56.571664016619586
77.55,28.638989307404405,3.998758895589095,28.63898930740428,3.9987588956870042,1.2434497875801753e-13,-9.7909236274063005e-11,28.144642674814012,9.2236523204098386,0.49434652537989976,0.45994721661466542,0.47477761237606242,-6.1035070608470869,-5.2450925876395189,-31.694681326694365,-56.58112624050051
77.56,28.638989307404405,3.998758895589095,28.638989307404405,3.9987764858779684,0.0,-1.7590288873492455e-05,28.179042038517718,9.2259044729113366,0.4599472688866868,0.42554180740520309,0.43934022547180368,-6.1035070608470567,-5.2450925876394887,-31.705946992284758,-56.592384331433784
77.572,28.741155038604905,3.9651401705036915,28.741150568309095,3.9651401710287502,4.4702958099662737e-06,-5.2505866321439498e-10,28.179042038517718,9.227883545484687,0.4599472688866868,0.42554180740520309,0.43934022547180368,-5.8843316595984154,-5.0259171863908474,-31.738152106224621,-56.61625663433545
77.58,28.741155038604905,3.9651401705036915,28.741155038211577,3.9651415227887981,3.9332803680736106e-10,-1.3522851065594921e-06,28.24785902814734,9.2297635816031889,0.49329494778296734,0.45887792863151944,0.47367677706500844,-5.8843305699156758,-5.0259160967081078,-31.747558843779341,-56.625656607387839
77.592,28.741155038604905,3.9651401705036915,28.741155038604887,3.965140184168007,1.7763568394002505e-14,-1.3664315456907161e-08,28.282276591851044,9.2320035026735692,0.45887844675382539,0.42445487860569742,0.4382212320083122,-5.8843305698197952,-5.0259160966122272,-31.75876670906327,-56.63685641295605
77.6,28.842533949511196,3.9310450452322163,28.8396368014816,3.9310554130699131,0.002897148029596508,-1.0367837696811932e-05,28.282276591851044,9.2342354643645912,0.45887844675382539,0.42445487860569742,0.4382212320083122,-5.6638717611799168,-4.8054572879723487,-31.793872551275172,-56.66105384446918
77.61,28.842533949511196,3.9310450452322163,28.842533946086839,3.9497309999118215,3.4243576862991176e-09,-0.01868595467960521,28.35112970148067,9.2379964843638973,0.49140421848559512,0.45696874992176717,0.47171087647633503,-5.663165488844065,-4.804751015636497,-31.809856229224444,-56.677025217544404
77.622,28.842533949511196,3.9310450452322163,28.842533949465196,3.9310596398706963,4.6000536713108886e-11,-1.4594638479970001e-05,28.35112970148067,9.2379964843638973,0.49140421848559512,0.45696874992176717,0.47171087647633503,-5.663165488020482,-4.804751014812914,-31.812691491918187,-56.67985829753961
77.633,28.94304513475791,3.8942754975025946,28.888778405707146,3.8953980164857995,0.054266729050763018,-0.0011225189832049232,28.420006579999185,9.2405944262975535,0.4117368986320713,0.43432455089313748,0.44667665785209965,-5.442291420274179,-4.583876947066611,-31.85138943514632,-56.706923916999763
77.642,29.042605405928644,3.854095090368425,29.042510154296448,3.854095145441093,9.525163219592514e-05,-5.5072668203592912e-08,28.45445385481401,9.2428014009459201,0.5879561889729068,0.5536031757787363,0.57124186144792355,-5.1784032061356884,-4.3199887329281204,-31.888184387056192,-56.728505721549347
