Time,Name,Z0,Z1,Reference
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.016000000000000007,,-0.0001665290675261407,-0.00015889201950527966,0.00016665799961443472
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
0.017000000000000008,,-0.00018791534899512957,-0.00017768217172426556,0.00018807820735800462
