Time,position,velocity,rhonn_x0,rhonn_x1,error_x0,error_x1,set_point
688.696,32.320963854454455,1.6230222302187112,32.324243428820495,1.6230196402211732,-0.0032795743660400944,2.5899975379939377e-06,34.32000000000092
688.707,32.34776969941577,1.6194572167171524,32.347627828494069,1.6194572316327651,0.00014187092170203641,-1.4915612744914597e-08,34.33500000000092
688.716,32.34776969941577,1.6194572167171524,32.347769591716286,1.6194597611586943,1.0769948488587033e-07,-2.5444415419073607e-06,34.35000000000092
688.726,32.37430748592747,1.6159278533506092,32.37416703182447,1.615928104673074,0.00014045410299701189,-2.5132246483927645e-07,34.36500000000092
688.736,32.37430748592747,1.6159278533506092,32.374307473569417,1.6159279247762157,1.2358050582861324e-08,-7.1425606540387321e-08,34.38000000000092
688.746,32.40092827180166,1.6152384425063466,32.354335702529454,1.6156739369030078,0.046592569272206674,-0.0004354943966611291,34.39500000000092
688.756,32.40092827180166,1.6152384425063466,32.400927796653576,1.6152384445191075,4.7514808443338552e-07,-2.0127608468811786e-09,34.41000000000092
688.766,32.40092827180166,1.6152384425063466,32.400928271781254,1.6152384644002069,2.0406787371030077e-11,-2.1893860280286503e-08,34.42500000000092
688.777,32.42764280653871,1.616111906079776,32.428039929276053,1.6161114714392539,-0.00039712273734693326,4.3464052201791503e-07,34.44000000000092
688.787,32.42764280653871,1.616111906079776,32.427642823574928,1.6161119280077259,-1.7036221322541678e-08,-2.1927949900302224e-08,34.45500000000092
688.796,32.45442150103871,1.6213349777093073,32.511854919411633,1.6210296734432177,-0.057433418372923484,0.00030530426608965655,34.47000000000092
688.806,32.481279065675345,1.6182782185040478,32.481250392906759,1.6182782217099714,2.8672768586091024e-05,-3.2059235266501673e-09,34.48500000000092
688.816,32.508235251123565,1.6242451662011999,32.511966890085716,1.6242422252257143,-0.0037316389621508961,2.9409754855880266e-06,34.500000000000924
688.826,32.508235251123565,1.6242451662011999,32.508235260169982,1.6242451663857906,-9.0464169488768675e-09,-1.845907871000918e-10,34.515000000000924
688.836,32.508235251123565,1.6242451662011999,32.508235251123637,1.6242451682182661,-7.1054273576010019e-14,-2.017066291770675e-09,34.530000000000925
688.848,32.508235251123565,1.6242451662011999,32.508235251123608,1.6245492874340215,-4.2632564145606011e-14,-0.00030412123282164139,34.545000000000925
688.856,32.5349218747173,1.6301524444213802,32.534933672247718,1.6301524466024659,-1.179753041924414e-05,-2.1810857564474873e-09,34.560000000000926
688.866,32.56169562152348,1.6282905687559683,32.537012688107808,1.6283987139693892,0.024682933415668629,-0.00010814521342084049,34.57500000000093
688.876,32.56169562152348,1.6282905687559683,32.56169536980849,1.6282905707850688,2.5171498663212333e-07,-2.0291004432237969e-09,34.59000000000093
688.887,32.588579186622766,1.6517135061881065,33.717490841217511,1.6370854618024424,-1.1289116545947451,0.014628044385664118,34.60500000000093
688.896,32.6158793954208,1.6513846318250103,32.615868630843721,1.6513846350406851,1.0764577076827209e-05,-3.215674837520055e-09,34.62000000000093
688.906,32.64290660213085,1.651059046205545,32.642813827074463,1.6510590625543244,9.2775056387495169e-05,-1.6348779441344163e-08,34.63500000000093
688.917,32.64290660213085,1.651059046205545,32.642906601905935,1.6510590463901309,2.2491519757750211e-10,-1.8458590211878345e-10,34.65000000000093
688.927,32.66998865605946,1.64900515508157,32.668466030118822,1.6490061608025002,0.0015226259406375675,-1.0057209300917691e-06,34.66500000000093
688.937,32.66998865605946,1.64900515508157,32.669987500177683,1.6490077088925261,1.1558817760715101e-06,-2.5538109560407918e-06,34.68000000000093
688.947,32.66998865605946,1.64900515508157,32.66998865604765,1.6490051571006745,1.1809220268332865e-11,-2.0191044391992818e-09,34.69500000000093
688.956,32.69718463778881,1.6513347619478305,32.697186736164156,1.6513347625782586,-2.098375347259207e-06,-6.3042815412472919e-10,34.71000000000093
688.966,32.69718463778881,1.6513347619478305,32.697184637810182,1.6513347639696576,-2.1373125491663814e-11,-2.0218271501448726e-09,34.72500000000093
688.977,32.72444683837034,1.6496555709814504,32.724442755942846,1.6496555729681006,4.0824274947226513e-06,-1.9866501776988343e-09,34.74000000000093
688.987,32.751812160780105,1.6429330305612064,32.410702640678295,1.6470789534806727,0.34110952010180995,-0.0041459229194662495,34.75500000000093
688.996,32.751812160780105,1.6429330305612064,32.751553211906554,1.6429356538786806,0.00025894887355093488,-2.6233174741374654e-06,34.770000000000934
689.006,32.751812160780105,1.6429330305612064,32.751812160630891,1.6429330305784617,1.4921397450962104e-10,-1.7255308293329108e-11,34.785000000000935
689.016,32.77924124180879,1.645157532639897,32.784614550045461,1.6451458039909994,-0.0053733082366704821,1.1728648897646465e-05,34.800000000000935
689.026,32.77924124180879,1.645157532639897,32.779242211483336,1.6451577710467689,-9.6967454510377138e-07,-2.3840687179976783e-07,34.815000000000936
689.036,32.77924124180879,1.645157532639897,32.7792412418504,1.6451576056336847,-4.1609382606111467e-11,-7.2993787680886157e-08,34.830000000000936
689.047,32.8067454496622,1.6468251353790186,32.822885696715559,1.6467296618785099,-0.016140247053357371,9.5473500508758136e-05,34.84500000000094
689.056,32.8067454496622,1.6468251353790186,32.806748362353147,1.6468253758657738,-2.912690945322538e-06,-2.4048675517640561e-07,34.86000000000094
689.066,32.8067454496622,1.6468251353790186,32.806745450187833,1.6468253777608766,-5.2563109420589171e-10,-2.4238185791780609e-07,34.87500000000094
689.076,32.83468811143873,1.6497503348729787,32.836421024160046,1.6497491522080594,-0.0017329127213159268,1.1826649193302785e-06,34.89000000000094
689.086,32.86305736019993,1.6468502640540679,32.826156488897453,1.6470166441691845,0.036900871302478322,-0.00016638011511660444,34.90500000000094
689.096,32.89114291647352,1.6439791939433461,32.889076903762572,1.6439806233860139,0.0020660127109479731,-1.4294426677885497e-06,34.92000000000094
689.106,32.89114291647352,1.6439791939433461,32.891142151783896,1.6439799827996779,7.6468962362241655e-07,-7.8885633181258186e-07,34.93500000000094
689.117,32.89114291647352,1.6439791939433461,32.891142916335525,1.6439794352312873,1.3799450471196906e-10,-2.4128794118283281e-07,34.95000000000094
689.126,32.91929344762143,1.6465826747025516,32.946205925073116,1.6464322469838208,-0.026912477451688233,0.00015042771873075012,34.96500000000094
689.137,32.91929344762143,1.6465826747025516,32.919293512863845,1.6465826748915617,-6.524241769056971e-08,-1.890101408719147e-10,34.98000000000094
689.146,32.91929344762143,1.6465826747025516,32.919293447622096,1.6465826767725105,-6.6791017161449417e-13,-2.0699588709760519e-09,34.99500000000094
689.156,32.94750705277881,1.6501386839756154,32.947628228067202,1.650138671172968,-0.00012117528839183933,1.2802647386678245e-08,35.01000000000094
689.167,32.94750705277881,1.6501386839756154,32.947507074646296,1.6501389274264966,-2.1867485600068903e-08,-2.4345088123212122e-07,35.025000000000944
689.18,32.94750705277881,1.6501386839756154,32.947507052848636,1.6501675023921933,-6.9825034643145045e-11,-2.8818416577980344e-05,35.040000000000944
689.186,33.0045028723293,1.6706007269383831,33.974370178804691,1.6948727561202332,-0.96986730647539332,-0.024272029181850119,35.055000000000945
689.196,33.0329456653726,1.6924464375259822,33.092527287384598,1.692334830225235,-0.059581622011997126,0.00011160730074721847,35.070000000000945
689.206,33.0329456653726,1.6924464375259822,33.032945809813015,1.6924464377130874,-1.4444041340766489e-07,-1.8710522020626286e-10,35.085000000000946
